"","X.miRNA","precursor","AD_A_S33_L001","AD_B_S34_L001","AD_C_S35_L001","AD_D_S36_L001","AD_E_S37_L001","AD_F_S38_L001","AD_G_S39_L001","AD_H_S40_L001","AD_I_S41_L001","AD_J_S42_L001","AD_K_S43_L001","AD_L_S44_L001","AD_M_S45_L001","AD_N_S46_L001","AD_O_S47_L001","AD_Q_S48_L001","MMCI_A_S17_L001","MMCI_B_S18_L001","MMCI_C_S19_L001","MMCI_D_S20_L001","MMCI_E_S21_L001","MMCI_F_S22_L001","MMCI_G_S23_L001","MMCI_H_S24_L001","MMCI_I_S25_L001","MMCI_J_S26_L001","MMCI_K_S27_L001","MMCI_L_S28_L001","MMCI_M_S29_L001","MMCI_N_S30_L001","MMCI_O_S31_L001","MMCI_P_S32_L001","NCI_A_S1_L001","NCI_B_S2_L001","NCI_C_S3_L001","NCI_D_S4_L001","NCI_E_S5_L001","NCI_F_S6_L001","NCI_G__S7_L001","NCI_H_S8_L001","NCI_I_S9_L001","NCI_J_S10_L001","NCI_K_S11_L001","NCI_L_S12_L001","NCI_M_S13_L001","NCI_N_S14_L001","NCI_O_S15_L001","NCI_P_S16_L001"
"1555","hsa-miR-4756-3p","hsa-mir-4756",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1556","hsa-miR-4757-5p","hsa-mir-4757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1557","hsa-miR-4757-3p","hsa-mir-4757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1558","hsa-miR-4758-5p","hsa-mir-4758",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1559","hsa-miR-4758-3p","hsa-mir-4758",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1560","hsa-miR-4759","hsa-mir-4759",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1561","hsa-miR-4760-5p","hsa-mir-4760",0,0,0,0,1.08,0,0,0,2.65,0,3.29,3.03,0,0,4.51,0,0,0,0,0,0,0,3.32,0,0,0,0,1.62,0,0,0,1.94,5.97,0,0,0,0,1.56,1.34,3.15,2.44,0,0,1.33,0,0,0,2.26
"1562","hsa-miR-4760-3p","hsa-mir-4760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1563","hsa-miR-4761-5p","hsa-mir-4761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1564","hsa-miR-4761-3p","hsa-mir-4761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1565","hsa-miR-4762-5p","hsa-mir-4762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1566","hsa-miR-4762-3p","hsa-mir-4762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1567","hsa-miR-4763-5p","hsa-mir-4763",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1568","hsa-miR-4763-3p","hsa-mir-4763",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1569","hsa-miR-4764-5p","hsa-mir-4764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1570","hsa-miR-4764-3p","hsa-mir-4764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1571","hsa-miR-4765","hsa-mir-4765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1572","hsa-miR-4766-5p","hsa-mir-4766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1573","hsa-miR-4766-3p","hsa-mir-4766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1574","hsa-miR-4767","hsa-mir-4767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1575","hsa-miR-4768-5p","hsa-mir-4768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1576","hsa-miR-4768-3p","hsa-mir-4768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1577","hsa-miR-4769-5p","hsa-mir-4769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1578","hsa-miR-4769-3p","hsa-mir-4769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1579","hsa-miR-4770","hsa-mir-4770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1580","hsa-miR-4771","hsa-mir-4771-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1581","hsa-miR-4771","hsa-mir-4771-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1582","hsa-miR-4772-5p","hsa-mir-4772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0
"1583","hsa-miR-4772-3p","hsa-mir-4772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1584","hsa-miR-4773","hsa-mir-4773-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1585","hsa-miR-4773","hsa-mir-4773-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1586","hsa-miR-4774-5p","hsa-mir-4774",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1587","hsa-miR-4774-3p","hsa-mir-4774",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1588","hsa-miR-4775","hsa-mir-4775",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1589","hsa-miR-4776-5p","hsa-mir-4776-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1590","hsa-miR-4776-3p","hsa-mir-4776-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1591","hsa-miR-4776-5p","hsa-mir-4776-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1592","hsa-miR-4776-3p","hsa-mir-4776-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1593","hsa-miR-4777-5p","hsa-mir-4777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1594","hsa-miR-4777-3p","hsa-mir-4777",0,2.04,1.14,0,0,0,0,0,0,0,1.1,0,0,0,3,0,0,0,1.5,1.53,0,0,0,1.52,0,0,0,0,4.39,0,0,0,0,0,0,0,1.78,0,0,0,0,0,0,1.33,0,0,0,0
"1595","hsa-miR-4778-5p","hsa-mir-4778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1596","hsa-miR-4778-3p","hsa-mir-4778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1597","hsa-miR-4779","hsa-mir-4779",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1598","hsa-miR-4780","hsa-mir-4780",3.32,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,0,0,0,0,0,1.56,1.34,0,2.44,1.2,1.49,0,0,0,0,0
"1599","hsa-miR-4781-5p","hsa-mir-4781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600","hsa-miR-4781-3p","hsa-mir-4781",0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1601","hsa-miR-4782-5p","hsa-mir-4782",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1602","hsa-miR-4782-3p","hsa-mir-4782",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1603","hsa-miR-4783-5p","hsa-mir-4783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1604","hsa-miR-4783-3p","hsa-mir-4783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1605","hsa-miR-4784","hsa-mir-4784",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1606","hsa-miR-4785","hsa-mir-4785",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1607","hsa-miR-4786-5p","hsa-mir-4786",0,0,0,0,0,0,0,0,0,0,0,1.51,1.48,0,0,0,1.8,0,0,0,5.53,1.41,0,0,0,0,0,0,1.46,0,1.59,0,0,0,5.71,0,1.78,0,2.68,0,2.44,0,0,0,0,1.49,0,0
"1608","hsa-miR-4786-3p","hsa-mir-4786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1609","hsa-miR-4787-5p","hsa-mir-4787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1610","hsa-miR-4787-3p","hsa-mir-4787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1611","hsa-miR-4788","hsa-mir-4788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1612","hsa-miR-4789-5p","hsa-mir-4789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1613","hsa-miR-4789-3p","hsa-mir-4789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1614","hsa-miR-4790-5p","hsa-mir-4790",0,0,0,0,0,0,0,0,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0
"1615","hsa-miR-4790-3p","hsa-mir-4790",0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,0,0,0,1.3,6.17,0,0,1.33,1.59,0,0,0,0,0,1.78,0,1.34,0,0,0,0,0,0,0,0,0
"1616","hsa-miR-4791","hsa-mir-4791",33.2,110.42,20.61,35,17.34,30.03,17.18,37.41,34.48,17.59,25.24,34.81,38.44,23.32,19.53,53.69,27.05,32.32,27.01,19.93,71.91,18.27,16.61,10.61,33.87,23.42,26.75,50.34,8.77,25.33,31.75,44.68,11.94,118.77,79.95,21.48,44.57,42.2,26.77,33.07,39.02,29.95,26.9,34.54,17.92,31.2,21.19,133.52
"1617","hsa-miR-4793-5p","hsa-mir-4793",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1618","hsa-miR-4793-3p","hsa-mir-4793",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1619","hsa-miR-4794","hsa-mir-4794",0,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1620","hsa-miR-4795-5p","hsa-mir-4795",0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,1.53,0,0,0,0,0,0,0,0,2.76,0,0,0
"1621","hsa-miR-4795-3p","hsa-mir-4795",0,0,0,1.3,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,0,1.53,1.78,0,0,0,0,0,0,0,1.38,1.49,0,0
"1622","hsa-miR-4796-5p","hsa-mir-4796",1.66,0,0,2.59,0,0,0,1.63,0,0,0,0,0,0,0,1.85,0,0,1.5,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,1.56,0,0,0,0,0,0,0,0,1.93,0
"1623","hsa-miR-4796-3p","hsa-mir-4796",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0
"1624","hsa-miR-4797-5p","hsa-mir-4797",0,0,0,2.59,0,0,1.23,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,1.33,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,1.38,1.49,0,0
"1625","hsa-miR-4797-3p","hsa-mir-4797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1626","hsa-miR-4798-5p","hsa-mir-4798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1627","hsa-miR-4798-3p","hsa-mir-4798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1628","hsa-miR-4799-5p","hsa-mir-4799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1629","hsa-miR-4799-3p","hsa-mir-4799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1630","hsa-miR-4800-5p","hsa-mir-4800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1631","hsa-miR-4800-3p","hsa-mir-4800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1632","hsa-miR-4801","hsa-mir-4801",0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,2.92,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1633","hsa-miR-4802-5p","hsa-mir-4802",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1634","hsa-miR-4802-3p","hsa-mir-4802",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1635","hsa-miR-4803","hsa-mir-4803",0,0,0,0,1.08,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0
"1636","hsa-miR-4804-5p","hsa-mir-4804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1637","hsa-miR-4804-3p","hsa-mir-4804",0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1638","hsa-miR-483-5p","hsa-mir-483",0,0,2.29,0,0,1.67,0,0,1.33,1.35,0,4.54,0,0,0,0,0,0,0,3.07,0,0,0,1.52,0,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0
"1639","hsa-miR-483-3p","hsa-mir-483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1640","hsa-miR-484","hsa-mir-484",629.12,527.55,808.21,785.5,760.85,535.45,613.73,881.65,881.9,787.53,541.07,617.52,935.87,873.35,663.92,392.52,642.05,546.21,802.84,781.79,738.46,860.16,938.55,821.63,705.19,698.7,1111.18,610.58,747.05,582.7,654.15,608.09,1161.39,653.21,1045.12,768.72,820.16,765.84,801.66,798.48,692.58,971.44,825.08,856.85,859.02,995.49,600.96,665.35
"1641","hsa-miR-485-5p","hsa-mir-485",204.17,345.57,271.31,242.39,281.8,390.33,336.32,159.41,263.91,358.58,287.55,195.24,363.7,440.91,286.9,74.06,312.01,824.16,247.61,246.8,229.56,286.72,353.82,331.99,145.15,411.15,438.3,362.13,304.08,336.02,338.19,237.02,385.14,283.21,295.07,334.49,217.52,328.22,315.84,196.86,541.38,323.41,216.73,269.68,270.25,242.19,261.96,287.41
"1642","hsa-miR-485-3p","hsa-mir-485",0,0,1.14,1.3,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,2.99,0,0,0,0,0,0,0,0,1.2,0,1.33,0,0,0,0
"1643","hsa-miR-486-5p","hsa-mir-486-1",81.34,59.3,88.15,72.59,74.78,113.43,95.74,56.93,176.38,119.08,71.34,115.03,112.36,122.95,103.64,107.39,64.93,74.34,66.03,55.19,63.61,80.11,73.09,53.06,55.64,141.82,125.52,76.32,81.87,68,34.93,42.74,68.67,41.11,45.69,79.79,74.88,43.76,133.83,72.45,53.65,134.16,64.27,128.86,121.34,86.18,100.16,106.37
"1644","hsa-miR-486-3p","hsa-mir-486-1",3.32,2.04,2.29,0,3.25,6.67,2.45,1.63,1.33,5.41,3.29,3.03,7.39,4.24,6.01,3.7,0,3.23,4.5,6.13,2.77,1.41,3.32,1.52,1.21,6.51,0,3.25,0,1.33,0,0,2.99,0,1.9,3.07,1.78,1.56,4.01,1.57,0,3.59,1.49,3.99,5.52,4.46,0,2.26
"1645","hsa-miR-486-5p","hsa-mir-486-2",81.34,59.3,87,72.59,74.78,111.76,95.74,56.93,176.38,117.72,71.34,115.03,110.89,122.95,103.64,107.39,64.93,74.34,66.03,55.19,63.61,78.71,73.09,51.54,55.64,140.52,125.52,74.7,81.87,68,34.93,40.8,68.67,38.83,45.69,79.79,74.88,43.76,133.83,72.45,53.65,134.16,64.27,128.86,121.34,86.18,100.16,106.37
"1646","hsa-miR-486-3p","hsa-mir-486-2",0,0,1.14,0,1.08,0,0,1.63,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,4.14,1.49,0,0
"1647","hsa-miR-487a-5p","hsa-mir-487a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,1.62,0,0,0,0,0,2.28,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0
"1648","hsa-miR-487a-3p","hsa-mir-487a",8.3,18.4,9.16,9.07,18.43,8.34,19.64,11.39,9.28,13.53,4.39,7.57,17.74,8.48,9.01,5.55,19.84,12.93,19.51,3.07,11.06,5.62,11.63,9.1,10.89,5.2,8.23,9.74,14.62,21.33,4.76,3.89,5.97,11.42,17.13,10.74,8.91,6.25,9.37,15.75,9.75,15.57,11.96,17.27,9.65,8.91,9.63,15.84
"1649","hsa-miR-487b-5p","hsa-mir-487b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1650","hsa-miR-487b-3p","hsa-mir-487b",4.98,24.54,11.45,1.3,10.84,15.01,14.73,1.63,11.94,18.94,9.88,7.57,11.83,8.48,6.01,5.55,9.02,22.62,9,9.2,8.3,15.46,11.63,13.64,13.31,5.2,12.35,9.74,4.39,10.67,12.7,9.71,8.96,9.14,5.71,9.21,8.91,9.38,10.71,4.72,14.63,10.78,7.47,15.94,9.65,10.4,9.63,11.32
"1651","hsa-miR-488-5p","hsa-mir-488",99.6,153.36,82.42,46.66,89.96,95.08,83.47,94.35,90.18,116.37,100.97,77.19,70.97,82.67,84.12,42.58,72.14,93.73,112.55,64.38,85.74,94.17,127.91,122.79,70.16,106.69,90.54,108.8,106.72,90.67,107.97,83.54,116.44,86.79,106.61,78.25,80.23,109.41,111.08,61.42,97.55,113.79,88.19,70.41,64.81,81.72,88.6,108.63
"1652","hsa-miR-488-3p","hsa-mir-488",341.95,392.6,212.93,171.1,262.29,360.3,258.99,190.32,242.69,255.74,227.19,207.35,375.53,332.81,235.83,161.08,297.58,559.14,271.62,225.34,326.36,195.36,333.89,333.5,218.94,350,255.16,334.52,267.54,312.02,320.72,244.79,277.66,219.26,331.24,274.65,205.04,289.14,244.91,176.39,441.4,271.91,331.83,305.55,267.5,267.45,275.44,278.36
"1653","hsa-miR-489-5p","hsa-mir-489",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
