"","X.miRNA","precursor","AD_A_S33_L001","AD_B_S34_L001","AD_C_S35_L001","AD_D_S36_L001","AD_E_S37_L001","AD_F_S38_L001","AD_G_S39_L001","AD_H_S40_L001","AD_I_S41_L001","AD_J_S42_L001","AD_K_S43_L001","AD_L_S44_L001","AD_M_S45_L001","AD_N_S46_L001","AD_O_S47_L001","AD_Q_S48_L001","MMCI_A_S17_L001","MMCI_B_S18_L001","MMCI_C_S19_L001","MMCI_D_S20_L001","MMCI_E_S21_L001","MMCI_F_S22_L001","MMCI_G_S23_L001","MMCI_H_S24_L001","MMCI_I_S25_L001","MMCI_J_S26_L001","MMCI_K_S27_L001","MMCI_L_S28_L001","MMCI_M_S29_L001","MMCI_N_S30_L001","MMCI_O_S31_L001","MMCI_P_S32_L001","NCI_A_S1_L001","NCI_B_S2_L001","NCI_C_S3_L001","NCI_D_S4_L001","NCI_E_S5_L001","NCI_F_S6_L001","NCI_G__S7_L001","NCI_H_S8_L001","NCI_I_S9_L001","NCI_J_S10_L001","NCI_K_S11_L001","NCI_L_S12_L001","NCI_M_S13_L001","NCI_N_S14_L001","NCI_O_S15_L001","NCI_P_S16_L001"
"24","hsa-miR-1-5p","hsa-mir-1-1",0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","hsa-miR-1-3p","hsa-mir-1-2",214.13,237.19,404.11,195.73,375.01,308.59,321.59,193.57,287.78,282.81,482.91,370.81,212.9,330.69,349.99,87.02,272.33,319.97,231.1,285.12,237.86,282.5,322.26,256.19,137.89,215.98,355.99,384.86,277.77,300.02,282.62,221.48,379.17,239.82,260.8,288.46,162.25,251.63,424.25,187.41,202.41,200.04,159.93,297.57,328.16,295.68,340.93,273.84
"26","hsa-miR-100-5p","hsa-mir-100",132.8,81.79,87,151.66,63.95,98.42,45.42,224.48,100.79,93.37,75.73,172.54,76.88,122.95,69.1,318.46,101,113.12,126.05,61.32,132.76,71.68,88.04,84.89,206.84,89.78,172.85,94.19,68.71,85.34,109.55,116.57,146.29,130.19,78.05,84.39,160.47,78.15,65.58,143.32,85.35,68.28,171.89,78.38,68.94,145.61,90.53,65.63
"27","hsa-miR-100-3p","hsa-mir-100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0
"28","hsa-miR-101-5p","hsa-mir-101-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,0,0,0,0,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","hsa-miR-101-3p","hsa-mir-101-1",17560.63,12810.52,10296.12,15693.21,13037.45,17596.33,12343.3,16443.95,10588.09,10465.2,13380.88,17304.09,11524.69,12084.87,14549.25,20346.31,14507.39,19055.87,15219.52,13232.18,13173.36,10432.96,12566.55,18604.95,17271.68,11733.4,10599.4,13866.31,9501.16,13048.78,13953.06,16074.67,12055.78,14062.34,11932.23,13408.8,15866.62,11700.13,13098.16,15704.93,14539.26,13464.81,14900.74,12985.67,12679.84,14320.23,20923.78,11752.3
"30","hsa-miR-101-3p","hsa-mir-101-2",24427.86,18552.26,14505.46,21111.37,18295.13,24773.98,17879.13,22382.9,15546.61,14389.31,19507.19,23291.58,15979.33,15160.67,21047.29,26519.26,20729.48,27743.48,21351.15,18333.74,17435.41,15492.73,17435.36,26305.86,23595.4,16706.24,13399.98,20127.99,14040.48,18669.12,19268.81,22064.29,15205.57,19463.91,16870.36,18492.15,20976.6,16682.76,18816.82,20032.76,20616.39,19022.74,20667.33,18016.53,17480.97,19321.46,27738.51,16943.86
"31","hsa-miR-101-2-5p","hsa-mir-101-2",0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","hsa-miR-10226","hsa-mir-10226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","hsa-miR-10392-5p","hsa-mir-10392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
