"","AD_A_S33_L001_R1_001","AD_B_S34_L001_R1_001","AD_C_S35_L001_R1_001","AD_D_S36_L001_R1_001","AD_E_S37_L001_R1_001","AD_F_S38_L001_R1_001","AD_G_S39_L001_R1_001","AD_H_S40_L001_R1_001","AD_I_S41_L001_R1_001","AD_J_S42_L001_R1_001","AD_K_S43_L001_R1_001","AD_L_S44_L001_R1_001","AD_M_S45_L001_R1_001","AD_N_S46_L001_R1_001","AD_O_S47_L001_R1_001","AD_Q_S48_L001_R1_001","MMCI_A_S17_L001_R1_001","MMCI_B_S18_L001_R1_001","MMCI_C_S19_L001_R1_001","MMCI_D_S20_L001_R1_001","MMCI_E_S21_L001_R1_001","MMCI_F_S22_L001_R1_001","MMCI_G_S23_L001_R1_001","MMCI_H_S24_L001_R1_001","MMCI_I_S25_L001_R1_001","MMCI_J_S26_L001_R1_001","MMCI_K_S27_L001_R1_001","MMCI_L_S28_L001_R1_001","MMCI_M_S29_L001_R1_001","MMCI_N_S30_L001_R1_001","MMCI_O_S31_L001_R1_001","MMCI_P_S32_L001_R1_001","NCI_A_S1_L001_R1_001","NCI_B_S2_L001_R1_001","NCI_C_S3_L001_R1_001","NCI_D_S4_L001_R1_001","NCI_E_S5_L001_R1_001","NCI_F_S6_L001_R1_001","NCI_G__S7_L001_R1_001","NCI_H_S8_L001_R1_001","NCI_I_S9_L001_R1_001","NCI_J_S10_L001_R1_001","NCI_K_S11_L001_R1_001","NCI_L_S12_L001_R1_001","NCI_M_S13_L001_R1_001","NCI_N_S14_L001_R1_001","NCI_O_S15_L001_R1_001","NCI_P_S16_L001_R1_001"
"tRF-38-2S3HPSR95933JKR",0,0,0,0,0,0,0,0,0,0,0,0,0,9.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-38-2VF0S7RNLJKP9BD2",0,0,0,0,11.07,0,0,0,0,0,0,0,0,0,0,5.63,0,0,0,0,0,5.86,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,15.23,0,0,0
"tRF-38-2VO0SRMNLB3KMBU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63,0,0,0,0,0,0,0,0,0,0,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74,0,0,16.67,0,0,10.82,0
"tRF-38-2VR008R959KUMK9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63,0,0,0,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-38-2VR008R9D9KUMK9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-38-2YBE7XO8Q6J6K60F",5.43,7.8,8.9,0,11.07,12.98,0,0,0,24.39,9.54,0,0,9.02,38.04,11.25,0,0,13.14,7.79,0,0,0,13.26,27.84,0,31.74,0,0,0,4.77,0,0,0,18.95,0,0,0,13.24,0,0,0,7.84,8.33,15.23,0,0,0
"tRF-38-2YU04DYJIO3ZU30F",249.68,468.06,453.97,561.1,1926.08,577.72,725.41,201.68,437.54,414.58,448.44,563.61,709.9,243.48,1074.74,101.26,1247.9,108.55,538.75,482.75,182.62,345.58,919.84,583.52,134.54,630.56,793.41,426.46,524.06,266.86,267.22,343.53,697.33,223.11,426.35,561.4,281.5,372.39,324.48,307.45,104.88,312.76,360.56,708.35,944.43,710.05,562.42,408.73
"tRF-38-2Z10I9BZBZOS4YV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,10.82,0
"tRF-38-301M3KYOHR6HFRD2",103.13,15.6,17.8,20.04,33.21,90.88,29.02,24.45,17.5,6.1,33.39,32.52,10.44,27.05,142.66,33.75,20.46,65.13,65.7,0,0,23.43,14.37,66.31,37.11,37.09,47.6,19.38,15.57,21.87,71.58,18.08,48.09,23.08,0,17.01,32.48,0,26.49,24.6,26.22,22.34,7.84,8.33,0,0,108.16,0
"tRF-38-307EZ6VYDY2EWBD6",0,7.8,17.8,10.02,22.14,6.49,0,0,0,0,4.77,10.84,0,0,0,0,0,10.85,0,0,10.15,0,14.37,0,4.64,12.36,0,12.92,0,0,0,0,0,0,18.95,0,0,0,0,0,8.74,7.45,0,8.33,0,0,0,14.09
"tRF-38-31QJ3KYUYR66RBD2",0,7.8,0,10.02,11.07,0,0,12.22,8.75,18.29,14.31,0,0,9.02,9.51,0,0,21.71,0,15.57,50.73,5.86,0,0,41.75,24.73,31.74,19.38,15.57,21.87,4.77,0,0,46.16,18.95,0,21.65,9.8,19.87,12.3,8.74,37.23,7.84,8.33,0,22.19,10.82,28.19
"tRF-38-31QJ3KYUYRR66BD2",0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.15,0,0,0,0,0,0,6.46,0,4.37,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-38-31QJ3KYUYRR6RBD2",1622.92,17700.43,6017.34,7093.9,5213.7,2648.42,6013.65,7847.16,5626.83,5816.33,3845.16,1755.87,5366.02,5681.31,6495.98,2132.04,981.96,9280.67,5177.26,7334.62,28458.09,6718.29,6582.64,5225.19,17313.61,3820.43,9203.57,5518.11,7399.07,6719.6,3306.83,6753.15,5434.39,27111.24,14211.68,5231.19,6442.11,9740.9,3609.01,3332.76,5969.44,7848.69,7838.16,7883.46,9733.73,10606.43,7625.17,9654.55
"tRF-38-389MV47P596VW6DK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,7.79,0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-38-395P4PZ3FJ6KEWX",0,0,0,0,0,0,14.51,0,0,0,4.77,0,0,18.04,0,0,0,0,13.14,7.79,0,0,0,13.26,0,0,47.6,0,0,8.75,0,0,0,0,0,0,0,0,6.62,0,8.74,0,0,8.33,0,0,0,0
"tRF-38-3B1NR8YU86KP6HD2",0,0,0,0,0,6.49,14.51,0,0,6.1,4.77,0,0,0,28.53,5.63,0,10.85,26.28,0,0,5.86,0,13.26,9.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.48,0,0,0,0,0,10.82,0
"tRF-38-3B1NR8YUP68P6HD2",0,0,0,10.02,0,0,0,6.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
