"","AD_A_S33_L001_R1_001","AD_B_S34_L001_R1_001","AD_C_S35_L001_R1_001","AD_D_S36_L001_R1_001","AD_E_S37_L001_R1_001","AD_F_S38_L001_R1_001","AD_G_S39_L001_R1_001","AD_H_S40_L001_R1_001","AD_I_S41_L001_R1_001","AD_J_S42_L001_R1_001","AD_K_S43_L001_R1_001","AD_L_S44_L001_R1_001","AD_M_S45_L001_R1_001","AD_N_S46_L001_R1_001","AD_O_S47_L001_R1_001","AD_Q_S48_L001_R1_001","MMCI_A_S17_L001_R1_001","MMCI_B_S18_L001_R1_001","MMCI_C_S19_L001_R1_001","MMCI_D_S20_L001_R1_001","MMCI_E_S21_L001_R1_001","MMCI_F_S22_L001_R1_001","MMCI_G_S23_L001_R1_001","MMCI_H_S24_L001_R1_001","MMCI_I_S25_L001_R1_001","MMCI_J_S26_L001_R1_001","MMCI_K_S27_L001_R1_001","MMCI_L_S28_L001_R1_001","MMCI_M_S29_L001_R1_001","MMCI_N_S30_L001_R1_001","MMCI_O_S31_L001_R1_001","MMCI_P_S32_L001_R1_001","NCI_A_S1_L001_R1_001","NCI_B_S2_L001_R1_001","NCI_C_S3_L001_R1_001","NCI_D_S4_L001_R1_001","NCI_E_S5_L001_R1_001","NCI_F_S6_L001_R1_001","NCI_G__S7_L001_R1_001","NCI_H_S8_L001_R1_001","NCI_I_S9_L001_R1_001","NCI_J_S10_L001_R1_001","NCI_K_S11_L001_R1_001","NCI_L_S12_L001_R1_001","NCI_M_S13_L001_R1_001","NCI_N_S14_L001_R1_001","NCI_O_S15_L001_R1_001","NCI_P_S16_L001_R1_001"
"tRF-25-JMRPFQRDWX",21.71,85.81,53.41,10.02,44.28,58.42,58.03,55,35,73.16,109.73,54.19,31.32,36.07,19.02,16.88,0,43.42,105.12,77.86,0,58.57,57.49,26.52,18.56,12.36,79.34,84,57.08,4.37,9.54,45.2,72.14,7.69,47.37,68.05,43.31,39.2,66.22,24.6,43.7,96.81,23.51,41.67,30.47,77.66,21.63,21.14
"tRF-25-JMRQ1W5DWX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0
"tRF-25-JMW9RKM876",0,0,8.9,0,0,12.98,7.25,0,0,12.19,0,0,0,9.02,19.02,0,0,21.71,26.28,0,0,23.43,0,39.79,0,0,0,6.46,20.75,0,4.77,9.04,0,7.69,0,8.51,10.83,0,13.24,0,8.74,22.34,0,8.33,0,11.09,0,0
"tRF-25-JMZLBS5EOB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0
"tRF-25-JNRPFQJDZX",0,0,0,0,0,0,7.25,0,0,0,14.31,10.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-JOKP1M58HU",0,0,0,10.02,0,0,0,0,26.25,0,0,0,0,0,0,0,0,0,0,7.79,0,0,0,0,9.28,0,0,0,0,0,0,0,0,0,18.95,0,0,0,0,0,0,0,0,0,0,0,0,7.05
"tRF-25-JOWU1M70YU",5.43,15.6,8.9,10.02,0,12.98,7.25,12.22,8.75,6.1,0,43.35,0,0,9.51,22.5,40.91,10.85,13.14,15.57,10.15,0,0,13.26,4.64,0,31.74,6.46,0,4.37,0,9.04,24.05,23.08,0,0,21.65,9.8,0,12.3,0,7.45,7.84,0,15.23,22.19,21.63,0
"tRF-25-JOWU1MN0YO",0,7.8,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,28.75,0,0,0,0,0,0,0,0,18.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-JOWU1MN0YU",0,0,8.9,10.02,0,6.49,7.25,12.22,0,6.1,4.77,10.84,0,0,9.51,5.63,20.46,0,26.28,7.79,20.29,0,28.75,0,0,0,31.74,0,0,8.75,0,0,0,0,0,0,32.48,0,0,0,26.22,14.89,0,0,0,0,0,0
"tRF-25-K2821IQ4YU",0,0,8.9,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,20.29,5.86,0,0,4.64,0,15.87,6.46,0,0,0,0,0,7.69,0,0,0,0,6.62,0,0,0,0,0,0,0,0,0
"tRF-25-K2821NQ4YO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,21.63,0
"tRF-25-K84J83ML5F",0,0,0,10.02,22.14,0,7.25,0,0,0,0,0,0,0,9.51,0,20.46,10.85,0,0,10.15,17.57,0,0,0,0,0,0,20.75,13.12,19.09,9.04,0,7.69,28.42,17.01,0,9.8,0,0,8.74,14.89,0,8.33,0,11.09,10.82,14.09
"tRF-25-K87SIRMM12",0,0,0,0,0,0,0,6.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-K87SIRMM1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05
"tRF-25-K8HJ83ML5F",0,7.8,17.8,0,11.07,0,14.51,0,26.25,6.1,0,10.84,0,18.04,9.51,0,20.46,10.85,0,0,0,11.71,43.12,13.26,4.64,0,0,12.92,5.19,0,9.54,9.04,0,7.69,9.47,0,0,9.8,6.62,0,26.22,0,0,8.33,0,11.09,10.82,7.05
"tRF-25-KF9MVH7P59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-KISBQONPJX",0,0,8.9,0,22.14,0,7.25,0,0,0,9.54,10.84,10.44,0,28.53,0,0,0,0,7.79,0,0,28.75,13.26,0,0,15.87,6.46,5.19,0,0,0,0,7.69,0,0,0,0,6.62,12.3,0,0,0,0,0,0,0,0
"tRF-25-KK5Y93W086",0,0,0,0,22.14,6.49,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-KP1M58HUB6",0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,20.46,0,0,0,0,0,0,13.26,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,22.19,0,0
"tRF-25-L2DI2OOIQO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.01,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-LJR7DJQ8IO",0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-LOMLQHWU46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-LP21W3WB8U",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.82,0
"tRF-25-LZNL7L73V6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0
"tRF-25-M2OSRNLNK6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-M3WD8S746D",0,0,0,0,0,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-M8ZLSSXUOL",5.43,78.01,8.9,20.04,0,6.49,7.25,12.22,26.25,30.48,42.94,10.84,41.76,27.05,19.02,0,0,0,52.56,15.57,101.45,5.86,0,13.26,4.64,12.36,15.87,45.23,31.13,17.5,23.86,9.04,0,30.77,113.69,8.51,10.83,68.6,59.6,0,34.96,14.89,31.35,8.33,0,11.09,32.45,84.57
"tRF-25-MBQ4NKKQBR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-MLQHWU4656",5.43,0,0,0,11.07,0,0,0,0,0,0,0,0,0,19.02,0,40.91,10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.82,0
"tRF-25-MZ3L7L73J6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63,0,0,0,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-MZ3L7L73V6",0,0,0,0,0,0,0,0,8.75,0,0,0,0,0,0,5.63,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0
"tRF-25-MZ3L7L73VX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-MZILQX3R8B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-N24YDRFU8U",0,0,0,0,0,0,7.25,0,0,6.1,4.77,10.84,0,0,19.02,0,0,10.85,0,0,0,0,0,0,0,0,31.74,0,0,0,0,0,0,0,0,0,0,0,13.24,0,0,0,0,0,0,0,0,0
"tRF-25-N6D14PU3XO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0,9.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-NBDWY2MJ8F",5.43,23.4,0,10.02,11.07,0,14.51,0,8.75,0,14.31,0,20.88,9.02,28.53,0,0,0,13.14,31.14,30.44,0,0,0,4.64,12.36,15.87,0,20.75,0,0,0,0,15.39,0,0,10.83,9.8,19.87,0,8.74,0,15.68,25,76.16,0,10.82,7.05
"tRF-25-NBRRX3WB36",5.43,7.8,0,0,0,0,0,0,0,0,0,0,10.44,0,0,0,20.46,0,0,0,0,5.86,28.75,26.52,0,0,31.74,0,0,0,0,9.04,24.05,0,0,0,0,9.8,0,0,0,0,0,0,0,0,21.63,0
"tRF-25-NBRSX3W036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.83,0,0,0,8.74,0,0,0,0,11.09,10.82,0
"tRF-25-NBRSX3WE36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51,0,0,10.85,0,0,0,0,0,13.26,0,0,0,0,0,0,0,0,0,0,0,0,10.83,0,6.62,0,0,0,0,0,0,0,0,0
"tRF-25-NIDRIWQ7PF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-NK5Y93W086",5.43,0,17.8,0,99.62,25.96,7.25,0,8.75,0,0,97.55,0,0,47.55,0,40.91,0,13.14,15.57,0,0,86.24,26.52,0,0,0,0,0,0,0,0,0,7.69,0,0,10.83,0,0,0,0,7.45,0,0,0,11.09,43.26,0
"tRF-25-NKYUPR18B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-NMEH623K76",0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,11.25,0,0,0,0,0,0,0,26.52,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.48,0,0,0,0,0,0,0
"tRF-25-NPJX0ZY0YB",0,7.8,0,10.02,0,0,0,0,8.75,0,0,0,0,9.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,10.82,0
"tRF-25-NPML5FZUNF",0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0
"tRF-25-NYDRFU8U76",0,0,0,10.02,44.28,32.46,7.25,0,0,24.39,23.85,32.52,10.44,9.02,28.53,5.63,61.37,0,26.28,38.93,0,5.86,28.75,66.31,4.64,0,0,0,5.19,8.75,4.77,0,24.05,0,0,0,21.65,0,0,0,8.74,7.45,0,0,0,11.09,97.34,0
"tRF-25-NYRVU4727O",0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.15,0,0,0,0,0,0,0,5.19,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-OB1690PQR3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0
"tRF-25-OB9ZFH690M",0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-OOJ0QXL13X",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05
"tRF-25-P27K7ZP33X",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-P7JL1Y2LNO",0,0,0,0,0,0,0,0,0,0,0,0,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-PISBQONPJX",0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-PJ60MV9JKL",0,7.8,0,0,0,12.98,7.25,0,17.5,6.1,19.08,0,0,0,9.51,0,0,10.85,0,0,0,29.29,0,0,0,0,0,6.46,5.19,0,4.77,18.08,0,0,9.47,8.51,0,9.8,0,0,0,0,0,8.33,0,0,0,0
"tRF-25-PURYX3WE36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.87,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-PV94V4SMIF",0,0,0,0,33.21,0,14.51,12.22,8.75,0,19.08,0,31.32,0,9.51,0,0,0,26.28,0,0,5.86,28.75,26.52,4.64,0,0,6.46,20.75,0,4.77,18.08,0,0,0,8.51,0,0,0,0,0,7.45,15.68,8.33,15.23,0,0,28.19
"tRF-25-Q89P9L8422",10.86,0,17.8,20.04,0,0,0,0,17.5,6.1,9.54,0,10.44,18.04,0,0,0,10.85,0,15.57,0,11.71,0,13.26,0,0,0,12.92,0,0,0,0,24.05,0,0,8.51,0,0,0,0,8.74,0,0,0,15.23,0,0,14.09
"tRF-25-QFQ2FWQ8P6",0,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-QJ3KYUYRR6",10.86,0,0,0,0,0,0,0,0,0,0,10.84,0,9.02,0,5.63,0,10.85,0,0,10.15,0,0,13.26,4.64,12.36,0,0,10.38,0,0,0,0,15.39,0,0,0,0,0,0,8.74,0,0,0,0,0,0,7.05
"tRF-25-QQKNR7VJKO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-QR535Z8LZB",0,0,0,0,22.14,12.98,14.51,0,8.75,0,0,0,10.44,0,28.53,0,0,0,13.14,0,10.15,0,0,0,4.64,0,0,0,0,0,0,0,0,0,18.95,0,0,9.8,0,12.3,0,0,7.84,0,30.47,0,0,14.09
"tRF-25-QZR44ER81X",5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-R29P4P9L5H",0,0,0,0,0,0,0,6.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62,0,0,0,0,0,0,0,0,0
"tRF-25-R3VJ4ZZ526",5.43,7.8,0,0,0,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,6.46,0,0,0,0,0,7.69,0,0,0,9.8,0,0,0,0,0,0,0,0,10.82,7.05
"tRF-25-R95933JKB6",0,0,0,0,11.07,0,7.25,6.11,8.75,0,0,0,0,9.02,0,0,0,65.13,0,0,0,17.57,0,0,9.28,0,0,6.46,0,0,4.77,0,0,0,0,0,0,39.2,0,0,17.48,14.89,0,8.33,0,0,0,14.09
"tRF-25-R9593KMH26",5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-R9598LS7F6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-R959MIL0O6",0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.23,0,0,0
"tRF-25-R959NRZZX6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0
"tRF-25-R95R3J0926",0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-R95R3JH926",0,0,0,0,11.07,0,0,0,0,18.29,0,0,0,18.04,0,0,0,0,13.14,0,0,5.86,0,0,0,0,0,0,10.38,4.37,9.54,0,24.05,0,9.47,0,0,0,0,0,8.74,7.45,7.84,8.33,0,0,0,28.19
"tRF-25-R95R3LNJ26",0,0,0,10.02,0,0,0,0,0,6.1,4.77,0,0,9.02,0,0,0,21.71,0,15.57,0,0,0,0,0,0,0,0,5.19,0,0,9.04,0,0,0,8.51,0,0,0,0,0,7.45,0,0,0,11.09,0,0
"tRF-25-R95RMJ6B26",0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0
"tRF-25-R9BM32LJK6",5.43,7.8,8.9,20.04,0,0,7.25,0,0,6.1,4.77,0,10.44,0,19.02,0,0,0,39.42,0,0,23.43,0,0,4.64,24.73,0,6.46,15.57,13.12,0,0,0,0,9.47,0,0,19.6,0,0,0,0,7.84,0,0,22.19,0,0
"tRF-25-R9BMM3PR46",5.43,0,17.8,30.06,55.35,6.49,7.25,0,0,18.29,4.77,10.84,0,0,9.51,0,61.37,0,26.28,7.79,0,35.14,14.37,26.52,0,24.73,0,6.46,10.38,0,4.77,18.08,72.14,0,18.95,42.53,32.48,9.8,6.62,0,17.48,52.13,0,16.67,0,11.09,0,0
"tRF-25-R9D9KUMKF6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.45,0,0,0,0,0,0
"tRF-25-R9DR3J0926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0
"tRF-25-R9DR3JH926",0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.65,0,0,0,8.74,0,0,0,0,0,0,0
"tRF-25-R9O13MMV46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-R9O9NJ9IL6",0,0,0,10.02,11.07,0,14.51,0,8.75,24.39,38.17,0,20.88,0,0,0,0,32.56,0,15.57,0,0,28.75,0,0,0,79.34,6.46,10.38,4.37,0,0,24.05,7.69,9.47,8.51,10.83,19.6,0,0,17.48,7.45,23.51,0,0,11.09,10.82,21.14
"tRF-25-R9ODMJ6B26",0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.87,0,5.19,0,0,0,0,0,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-R9OMK1QV26",0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-R9OMKJRV46",0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,10.85,0,0,0,0,0,0,0,0,0,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.45,0
"tRF-25-R9OML32826",0,0,0,0,0,0,0,6.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-RK9P4P9L5F",244.25,109.21,293.75,260.51,254.6,370,217.62,275.02,367.54,335.32,400.74,346.84,198.35,153.31,133.15,343.15,654.64,151.96,118.26,225.8,121.75,228.43,316.2,225.45,352.58,333.82,285.63,180.92,93.4,122.49,353.11,117.52,264.51,184.64,47.37,153.11,216.54,98,344.35,159.87,174.8,178.72,195.95,125,137.09,166.42,302.84,133.9
"tRF-25-RK9P4P9L5H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.87,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-RKJP4P9L5F",10.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0
"tRF-25-RKM87SDR26",0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05
"tRF-25-RKVPNPML5F",0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-RPFQ5DWXH9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-RPM8309MU2",10.86,23.4,17.8,30.06,0,6.49,0,6.11,17.5,0,0,54.19,20.88,18.04,0,5.63,61.37,10.85,13.14,7.79,0,11.71,14.37,13.26,0,37.09,0,0,0,8.75,14.32,9.04,0,15.39,18.95,25.52,0,9.8,6.62,36.89,0,7.45,23.51,16.67,0,11.09,54.08,28.19
"tRF-25-RS9NS334L2",0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,6.46,0,4.37,0,0,0,0,0,0,0,19.6,0,0,8.74,0,0,0,0,0,0,35.24
"tRF-25-RX6N38Z906",0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64,0,0,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0
"tRF-25-RXPIN24YDR",0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.15,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-RYVMMV5BU6",5.43,7.8,0,10.02,0,12.98,7.25,6.11,8.75,0,4.77,10.84,20.88,27.05,9.51,0,0,0,26.28,0,10.15,11.71,0,0,18.56,12.36,0,12.92,10.38,8.75,9.54,18.08,0,7.69,28.42,25.52,10.83,9.8,13.24,0,34.96,0,0,8.33,0,0,10.82,7.05
"tRF-25-S0299DWUH6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-S7RNLJKP9B",0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-S9245J7KYU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tRF-25-SB3B5SM3WB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.45,0,0,0,0,0,0
"tRF-25-SLDPUSYDY6",0,15.6,0,0,0,0,0,0,8.75,12.19,14.31,10.84,20.88,45.09,9.51,0,0,0,0,7.79,20.29,11.71,0,0,9.28,24.73,0,6.46,0,0,0,0,0,23.08,9.47,8.51,0,0,0,24.6,0,0,7.84,0,15.23,0,0,35.24
"tRF-25-SWRYVMMV5B",0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,7.79,10.15,5.86,0,0,4.64,0,0,12.92,10.38,0,0,0,0,23.08,9.47,0,0,9.8,0,0,0,7.45,0,0,0,0,0,0
